run         log-ver     copies      diagnosed   unexpl      HC-phys     skips       invar       bad-rows    corrob    
celev4/calorimeter        7           36          33          38          0           0           1           0           0         
celev4/emcal              14          102         28          64          0           0           0           0           1         
celev4/higgs              0           14          0           61          0           1           0           0           0         
celev4/muon               3           34          23          26          0           2           0           0           0         
celev4/tof                8           6           2           89          0           1           0           0           0         
celev4/tracking           5           112         13          38          2           0           0           0           0         
celev7/calorimeter        10          55          20          98          4           0           0           7           0         
celev7/emcal              3           175         66          129         3           0           0           0           0         
celev7/higgs              0           6           6           102         0           0           0           0           0         
celev7/muon               16          160         56          64          3           0           1           0           0         
celev7/tof                60          77          89          259         7           0           0           0           0         
celev7/tracking           0           33          22          33          0           0           0           0           2         
optiv5/darkside_lar       5           76          12          199         11          0           0           0           0         
optiv5/detector           12          39          4           35          5           0           0           0           0         
optiv5/protodune_lar      4           67          12          28          8           0           2           0           0         
optiv9/darkside_lar       25          68          51          50          14          2           6           1           1         
optiv9/detector           8           12          8           43          0           0           0           0           0         
optiv9/protodune_lar      6           40          3           40          4           0           2           0           0         
TOTAL       186         1112        448         1396        61          6           12          8           4         
