run         log-ver     copies      diagnosed   unexpl      HC-phys     skips       invar       bad-rows    corrob    
celev4/calorimeter        7           36          29          42          0           0           1           0           0         
celev4/emcal              14          102         7           85          0           0           0           0           1         
celev4/higgs              0           14          5           56          0           1           0           0           0         
celev4/muon               3           34          22          27          0           2           0           0           0         
celev4/tof                8           6           6           85          0           1           0           0           0         
celev4/tracking           5           112         23          28          2           0           0           0           0         
celev7/calorimeter        10          55          29          89          4           0           0           7           0         
celev7/emcal              3           175         35          160         3           0           0           0           0         
celev7/higgs              0           6           63          45          0           0           0           0           0         
celev7/muon               16          160         34          86          3           0           1           0           0         
celev7/tof                60          77          3           345         7           0           0           0           0         
celev7/tracking           0           33          20          35          0           0           0           0           2         
optiv5/darkside_lar       5           76          37          174         11          0           0           0           0         
optiv5/detector           12          39          1           38          5           0           0           0           0         
optiv5/protodune_lar      4           67          0           40          8           0           2           0           0         
optiv9/darkside_lar       25          68          35          66          14          2           6           1           1         
optiv9/detector           8           12          8           43          0           0           0           0           0         
optiv9/protodune_lar      6           40          0           43          4           0           2           0           0         
TOTAL       186         1112        357         1487        61          6           12          8           4         
